City,Station,Date,PM2.5,PM10,SO2,CO,OZONE,NO2,NH3
Delhi,"Wazirpur, Delhi - DPCC",20-11-2023 12:00:00,398,353,15,116,12,20,
Ahmedabad,"Chandkheda, Ahmedabad - IITM",20-11-2023 12:00:00,114,112,3,32,28,12,2
Ahmedabad,"Gyaspur, Ahmedabad - IITM",20-11-2023 12:00:00,176,141,11,10,32,10,3
Ahmedabad,"Maninagar, Ahmedabad - GPCB",20-11-2023 12:00:00,187,133,21,64,52,45,
Ahmedabad,"Raikhad, Ahmedabad - IITM",20-11-2023 12:00:00,66,93,1,29,11,9,2
Ahmedabad,"Rakhial, Ahmedabad - IITM",20-11-2023 12:00:00,152,141,6,27,33,3,5
Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",20-11-2023 12:00:00,72,96,16,23,30,23,85
Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",20-11-2023 12:00:00,72,78,2,30,21,17,6
Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",20-11-2023 12:00:00,73,100,19,74,24,15,24
Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",20-11-2023 12:00:00,142,138,3,43,13,5,1
Ankleshwar,"GIDC, Ankleshwar - GPCB",20-11-2023 12:00:00,140,100,47,92,14,31,6
Gandhinagar,"GIFT City, Gandhinagar - IITM",20-11-2023 12:00:00,129,121,2,12,18,8,1
Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",20-11-2023 12:00:00,227,131,6,41,34,11,5
Gandhinagar,"Sector-10, Gandhinagar - GPCB",20-11-2023 12:00:00,95,86,11,46,15,10,1
Nandesari,"GIDC, Nandesari - Nandesari Ind. Association",20-11-2023 12:00:00,23,19,,50,,10,
Surat,"Science Center, Surat - SMC",20-11-2023 12:00:00,199,194,11,51,,10,
Vapi,"Phase-1 GIDC, Vapi - GPCB",20-11-2023 12:00:00,142,184,46,170,2,,6
Vatva,"Phase-4 GIDC, Vatva - GPCB",20-11-2023 12:00:00,107,101,6,64,34,49,2
Ambala,"Patti Mehar, Ambala - HSPCB",20-11-2023 12:00:00,163,110,25,89,27,158,34
Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",20-11-2023 12:00:00,359,288,11,99,63,36,11
Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",20-11-2023 12:00:00,303,229,6,30,11,12,2
Bhiwani,"H.B. Colony, Bhiwani - HSPCB",20-11-2023 12:00:00,267,170,10,58,20,14,4
Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",20-11-2023 12:00:00,244,157,16,72,15,12,6
Dharuhera,"Municipal Corporation Office, Dharuhera - HSPCB",20-11-2023 12:00:00,303,230,15,45,38,74,20
Faridabad,"New Industrial Town, Faridabad - HSPCB",20-11-2023 12:00:00,366,338,NA,45,11,NA,NA
Faridabad,"Sector 11, Faridabad - HSPCB",20-11-2023 12:00:00,298,264,19,89,3,31,6
Faridabad,"Sector 30, Faridabad - HSPCB",20-11-2023 12:00:00,321,207,5,102,2,31,9
Faridabad,"Sector- 16A, Faridabad - HSPCB",20-11-2023 12:00:00,338,,46,28,14,25,
Fatehabad,"Huda Sector, Fatehabad - HSPCB",20-11-2023 12:00:00,344,219,22,8,22,30,10
Gurugram,"NISE Gwal Pahari, Gurugram - IMD",20-11-2023 12:00:00,183,111,,83,6,17,
Gurugram,"Sector-51, Gurugram - HSPCB",20-11-2023 12:00:00,345,242,3,106,11,15,10
